14/05/2007 	SU PAGO GRACIAS 	14/05/2007 	 HT071340052000010003003 	 $1,000.00- 
14/05/2007 	CYU941027P30 GAS MERIDA YUC 	13/05/2007 	74912847133000771319569 	$335.06  
16/05/2007 	CABLEMAS I MERIDA YUC 	16/05/2007 	74912847136106174639870 	$304.17  
16/05/2007 	CABLEMAS I MERIDA YUC 	16/05/2007 	74912847136106274639879 	$204.18  
17/05/2007 	BODEGA JUAN PABLO II MERIDA YUC 	16/05/2007 	74555467137957997548641 	$62.48  
17/05/2007 	CYU941027P30 GAS MERIDA YUC 	16/05/2007 	74912847136002571319564 	$300.00  
18/05/2007 	SU PAGO GRACIAS 	18/05/2007 	HT071380039000010000652 	$500.00- 
21/05/2007 	SU PAGO GRACIAS 	21/05/2007 	HT071410052000010001653 	$1,000.00- 
21/05/2007 	TDA CHEDRAUI MERIDA IV MERIDA YUC 	19/05/2007 	74555467140953387772466 	$193.38  
21/05/2007 	TDA CHEDRAUI MERIDA IV MERIDA YUC 	19/05/2007 	74555467140953387772482 	$99.60  
21/05/2007 	BODEGA JUAN PABLO II MERIDA YUC 	20/05/2007 	74555467141957997546979 	$270.95  
21/05/2007 	CYU941027P30 GAS MERIDA YUC 	20/05/2007 	74912847140001971319566 	$300.00  
22/05/2007 	TELMEX MEXICO DF 	21/05/2007 	74555467142984575174098 	$189.00  
23/05/2007 	MDO LIBRE SEIS VT MEXICO DF 	23/05/2007 	74941337143020486167652 	$79.80  
23/05/2007 	MDO LIBRE SEIS VT MEXICO DF 	23/05/2007 	74941337143020586167651 	$79.80  
24/05/2007 	TDAS CHEDRAUI MER III MERIDA YUC 	23/05/2007 	74555467144919830552322 	$126.24  
24/05/2007 	CYU941027P30 GAS MERIDA YUC 	24/05/2007 	74912847144000271319561 	$300.00  
25/05/2007 	SU PAGO GRACIAS 	25/05/2007 	HT071450039000010002073 	$1,500.00- 
28/05/2007 	JAPAY MULTIPAGOS MERIDA YUC 	26/05/2007 	74555467147954540041586 	$62.50  
28/05/2007 	TDAS CHEDRAUI MER III MERIDA YUC 	27/05/2007 	74555467148919830557806 	$228.71  
28/05/2007 	TDAS CHEDRAUI MER III MERIDA YUC 	27/05/2007 	74555467148919830557814 	$214.00  
28/05/2007 	CYU941027P30 GAS MERIDA YUC 	27/05/2007 	74912847147002071319566 	$270.04  
29/05/2007 	TELMEX MEXICO DF 	28/05/2007 	74555467149984575175205 	$400.00  
31/05/2007 	SU PAGO GRACIAS 	31/05/2007 	HT071510039000010003058 	$500.00- 
04/06/2007 	SU PAGO GRACIAS 	04/06/2007 	HT071550052000010002772 	$1,550.00- 
04/06/2007 	BODEGA JUAN PABLO II MERIDA YUC 	03/06/2007 	74555467155957997540132 	$122.91  
04/06/2007 	BODEGA JUAN PABLO II MERIDA YUC 	03/06/2007 	74555467155957997549331 	$41.00  
04/06/2007 	COM FED ELEC MOD SUR MERIDA YUC 	02/06/2007 	74912847153000279267851 	$189.00  
04/06/2007 	CYU941027P30 GAS MERIDA YUC 	02/06/2007 	74912847153002771319560 	$320.00  
07/06/2007 	SU PAGO GRACIAS 	07/06/2007 	HT071580039000010000169 	$1,000.00- 
07/06/2007 	OMNILIFE DE MEXICO MERIDA YUC 	06/06/2007 	74555467158915962122887 	$322.08  
07/06/2007 	OMNILIFE DE MEXICO MERIDA YUC 	06/06/2007 	74555467158915962123075 	$1,673.46  
08/06/2007 	DISP RED I71828 00000004936 	07/06/2007 	71581927440000000049361 	$500.0
